vg,vd,vg_gt,vd_gt
0.013192724093413988,-0.030017189927113927,0.0,0.0
0.03146584958413566,-0.050756376214809676,0.0,0.0
-0.02744219082014338,0.05805545401844805,0.0,0.0
0.04175115836089282,-0.04316989047386749,0.0,0.0
0.014339711499551131,0.011968132337398624,0.0,0.0
-0.001503638333382323,-0.021266785089436822,0.0,0.0
0.0669962252815612,0.08453798111084937,0.0,0.0
-0.011001516840004225,0.04741866218876038,0.0,0.0
-0.047620239773224105,0.006997177841780859,0.0,0.0
0.014741484216399037,-0.03426452977829664,0.0,0.0
-0.0380177344845581,0.03577186877963409,0.0,0.0
-0.023746498218242082,0.10348216915167249,0.0,0.0
0.008926301516718832,-0.013694472361401993,0.0,0.0
-0.13104450948934906,0.06995554480205146,0.0,0.0
0.01152067081250056,-0.0218491607947309,0.0,0.0
0.0459201463820919,-0.012495966510512822,0.0,0.0
0.06821067456336409,-0.038630743866033004,0.0,0.0
-0.0769533502471903,0.014930555778492812,0.0,0.0
0.02339541035926955,0.020426314286889496,0.0,0.0
-0.037772800236656155,0.050356001179255525,0.0,0.0
0.02795226268545682,-0.00933453539980639,0.0,0.0
-0.06293606804626557,-0.001998207582554701,0.0,0.0
0.11559163241615465,0.010455284037843552,0.0,0.0
0.09125254299471239,0.10322538319502005,0.0,0.0
0.028975551074605407,0.0011238910658435445,0.0,0.0
0.0430266085403632,-0.054594499849030254,0.0,0.0
-0.04532579051662725,0.04094266115274733,0.0,0.0
0.0027521734757671467,0.06570006796326541,0.0,0.0
-0.04515651317022419,0.03405331097558342,0.0,0.0
0.034322670432844996,0.00478937121512479,0.0,0.0
-0.082204438312356,-0.046057596040884254,0.0,0.0
-0.0036212225710700588,-0.0523990335868604,0.0,0.0
0.033419192260270195,-0.016161812572134775,0.0,0.0
-0.016717699172997213,0.020496079150105345,0.0,0.0
0.023868527451015045,0.029409578733364798,0.0,0.0
-0.01640874010756564,-0.03850664805327599,0.0,0.0
0.09048287174468386,0.0049978744498161195,0.0,0.0
0.027387208968460534,0.009046145282198652,0.0,0.0
0.013164215228074611,0.047686090109770964,0.0,0.0
-0.025031900067916366,-0.015799563443174954,0.0,0.0
-0.11688405074468919,0.07680363510808137,0.0,0.0
0.01531839456650839,-0.018213709656361574,0.0,0.0
0.014207493530895753,-0.0779635358873073,0.0,0.0
-0.024627858849984478,-0.030447563191027115,0.0,0.0
-0.04101247519218512,-0.0004152656054329264,0.0,0.0
-0.006712484286580647,0.0495486104725866,0.0,0.0
-0.04166470132939903,0.0811938484164412,0.0,0.0
-0.05967797579563222,0.036736237385663666,0.0,0.0
-0.06755257020193489,0.09594591396964233,0.0,0.0
0.05709763808006557,-0.011527987308125476,0.0,0.0
-0.017291294203826368,-0.026819628740788293,0.0,0.0
-0.07072066218164749,-0.013598962819155857,0.0,0.0
0.03726311827208247,0.021982505031670874,0.0,0.0
-0.02151489515769076,-0.009562438003606183,0.0,0.0
-0.09283226666224584,-0.013331336494938282,0.0,0.0
-0.06407283073952043,0.11518019704994951,0.0,0.0
-0.07946139420533987,-0.03820530192115128,0.0,0.0
0.04276267199316123,-0.03145099017845687,0.0,0.0
0.023750311801299915,0.03250915005804211,0.0,0.0
-0.03378539968310224,0.06530176409296964,0.0,0.0
0.021847820578454514,-0.01904787878392949,0.0,0.0
-0.014183288394176444,-0.04264360410689763,0.0,0.0
0.07740369118739317,-0.009764671551122556,0.0,0.0
0.018142258621154653,0.04630995782277394,0.0,0.0
0.05354582362391265,-0.0033219398055227565,0.0,0.0
0.04413002128214024,0.012236093905603278,0.0,0.0
0.012930137504215546,0.05026306086172771,0.0,0.0
-0.02009575606054553,0.007437801233434077,0.0,0.0
0.06016251728065244,0.04043402715601081,0.0,0.0
0.03704635180100255,-0.026112006721752453,0.0,0.0
0.07618678071315882,0.08975320986257804,0.0,0.0
0.10660134815420057,-0.04341580402226669,0.0,0.0
-0.011624807313106332,0.013066669517998775,0.0,0.0
